symptom,keyword,medicine
Chest discomfort with mild tightness, chest,Rest and deep breathing; avoid stress and breathe slowly. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
Slight pain in chest intermittently, chest,Aspirin 75mg; sit calmly and take deep breaths. Note: Severe chest pain can be a medical emergency. These suggestions are for mild, non-cardiac discomfort only.
I have leg cramps at night, cramps,Magnesium supplement; take after meals and stay hydrated
Muscle cramps in calves, cramps,Warm compress; gently massage and relax muscles
Sudden cramps in thighs, cramps,Magnesium supplement; sip water and rest calmly
Painful cramps in arms, cramps,Warm compress; stretch muscles gently and relax
Frequent leg cramps, cramps,Magnesium supplement; maintain electrolyte balance and rest
Cramps after exercise, cramps,Warm compress; massage and stay calm
Abdominal cramps after meals, cramps,Magnesium supplement; sip warm fluids and relax
Thigh muscles feel cramped, cramps,Warm compress; apply gently and breathe slowly
Severe calf cramps, cramps,Magnesium supplement; rest and hydrate
Muscle tightening causing cramps, cramps,Warm compress; stretch gently and stay relaxed
Cramps in feet while sleeping, cramps,Magnesium supplement; take after meals and relax
Painful arm cramps, cramps,Warm compress; gently massage and stay calm
Leg cramps causing discomfort, cramps,Magnesium supplement; sip fluids and rest quietly
Cramps in stomach area, cramps,Warm compress; relax and breathe slowly
Persistent muscle cramps, cramps,Magnesium supplement; maintain electrolyte balance and rest calmly
I sweat excessively even without activity, sweating,Antiperspirant; apply at night and keep skin dry
Sweating heavily during day, sweating,Stay hydrated; wear breathable cotton clothing and relax
Hands and feet sweat a lot, sweating,Antiperspirant; apply carefully and keep area dry
Excessive sweating during mild exertion, sweating,Stay hydrated; sip water and wear light clothing
Sweating in armpits constantly, sweating,Antiperspirant; apply after shower and stay cool
Heavy sweating even at rest, sweating,Stay hydrated; avoid tight clothing and keep calm
Sweaty palms interfering with tasks, sweating,Antiperspirant; apply gently and keep hands dry
Sweating excessively in office, sweating,Stay hydrated; wear breathable clothes and relax
Night sweats frequently, sweating,Antiperspirant; use before bed and keep bedroom cool
Sweating after small efforts, sweating,Stay hydrated; sip water and wear loose clothing
Face and back sweating a lot, sweating,Antiperspirant; apply lightly and keep skin clean
Sweating causing discomfort in heat, sweating,Stay hydrated; wear light fabrics and rest calmly
Hands and feet dripping sweat, sweating,Antiperspirant; apply gently and keep dry
Sweating without reason, sweating,Stay hydrated; avoid tight fabrics and stay relaxed
Excessive sweating making me uncomfortable, sweating,Antiperspirant; apply at night and maintain calm
Swelling on my hands, swelling,Cold compress; apply gently and keep area elevated
Red swollen patches on skin, swelling,Hydrocortisone cream 1%; apply lightly and avoid scratching
Puffy area on my arm, swelling,Cold compress; keep elevated and rest calmly
Swollen skin around ankle, swelling,Hydrocortisone cream 1%; apply gently and keep area clean
Swelling with redness on leg, swelling,Cold compress; apply for 10 minutes and relax
I have swollen bumps on skin, swelling,Hydrocortisone cream 1%; massage lightly and avoid irritation
Swelling on face near eyes, swelling,Cold compress; apply carefully and keep area calm
Red and swollen skin on back, swelling,Hydrocortisone cream 1%; gently apply and rest
Swollen fingers causing discomfort, swelling,Cold compress; elevate and keep area clean
Swelling after insect bite, swelling,Hydrocortisone cream 1%; apply lightly and avoid scratching
Puffy skin on arms and legs, swelling,Cold compress; apply gently and relax
Skin swelling with itchiness, swelling,Hydrocortisone cream 1%; massage lightly and keep area dry
Swollen area after minor injury, swelling,Cold compress; apply intermittently and rest
Red swollen patches on hands, swelling,Hydrocortisone cream 1%; apply gently and avoid friction
Swelling on my legs, swelling,Cold compress; elevate and stay calm
I got bitten by an insect, insect,Hydrocortisone cream 1%; apply lightly and avoid scratching
Red itchy insect bite on arm, insect,Cetirizine 10mg; take as directed and stay calm
Swollen insect bite on leg, insect,Hydrocortisone cream 1%; apply gently and keep area clean
Itchy mosquito bite, insect,Cetirizine 10mg; take with water and avoid scratching
Insect bite causing redness, insect,Hydrocortisone cream 1%; apply lightly and rest
Painful bite on hand, insect,Cetirizine 10mg; take as directed and stay relaxed
Swelling from insect sting, insect,Hydrocortisone cream 1%; apply gently and keep elevated
Red bumps from insect bite, insect,Cetirizine 10mg; take with water and avoid irritants
Itchy swelling from bite, insect,Hydrocortisone cream 1%; massage lightly and keep area calm
Bite marks on skin, insect,Cetirizine 10mg; take as directed and relax
Insect bite causing discomfort, insect,Hydrocortisone cream 1%; apply lightly and avoid friction
Swollen itchy area from bite, insect,Cetirizine 10mg; stay calm and avoid scratching
Red and swollen insect bite, insect,Hydrocortisone cream 1%; apply gently and keep area clean
Itchy bites on arms and legs, insect,Cetirizine 10mg; take with water and relax
Insect sting causing pain, insect,Hydrocortisone cream 1%; apply lightly and avoid rubbing
My face is very oily, oily,Salicylic acid face wash; wash twice daily and avoid touching face
Oily T-zone on my face, oily,Oil-free moisturizer; apply gently and keep skin clean
Excess oil making my skin shiny, oily,Salicylic acid face wash; rinse thoroughly and stay hydrated
Oily cheeks and forehead, oily,Oil-free moisturizer; apply lightly and avoid heavy creams
Face gets greasy quickly, oily,Salicylic acid face wash; wash regularly and pat dry
Oily skin causing breakouts, oily,Oil-free moisturizer; apply gently and keep skin calm
Shiny skin on face, oily,Salicylic acid face wash; wash twice daily and avoid friction
Excessive oiliness on forehead, oily,Oil-free moisturizer; apply lightly and stay hydrated
Oily patches on chin and nose, oily,Salicylic acid face wash; rinse well and keep skin clean
Skin feels greasy, oily,Oil-free moisturizer; apply gently and avoid touching frequently
Face gets oily in afternoons, oily,Salicylic acid face wash; wash regularly and relax
Oily skin causing clogged pores, oily,Oil-free moisturizer; apply lightly and maintain calm
Shiny forehead and nose, oily,Salicylic acid face wash; rinse thoroughly and keep area clean
Oily skin after washing, oily,Oil-free moisturizer; apply gently and avoid heavy makeup
Greasy skin throughout day, oily,Salicylic acid face wash; wash twice daily and stay calm
I keep having bad dreams at night, nightmares,Improve sleep hygiene; maintain regular sleep schedule and avoid screens before bed
Frequent nightmares disturbing my sleep, nightmares,Relaxation techniques; meditate or do deep breathing before sleep
Nightmares waking me up suddenly, nightmares,Improve sleep hygiene; go to bed at same time daily and stay calm
Scary dreams almost every night, nightmares,Relaxation techniques; read a light book or practice calm breathing
I have vivid nightmares often, nightmares,Improve sleep hygiene; avoid caffeine and screens in evening
Disturbing dreams during sleep, nightmares,Relaxation techniques; meditate or listen to soothing music
Nightmares causing anxiety, nightmares,Improve sleep hygiene; maintain consistent sleep routine and calm environment
I wake up from scary dreams, nightmares,Relaxation techniques; practice deep breathing and calm thoughts
Recurring nightmares at night, nightmares,Improve sleep hygiene; go to bed early and avoid screen time
Frightening dreams affecting my rest, nightmares,Relaxation techniques; light reading and relaxation exercises
I remember bad dreams every morning, nightmares,Improve sleep hygiene; keep room dark and quiet for sleep
Nightmares making me anxious, nightmares,Relaxation techniques; meditate or do gentle stretches before bed
Frequent disturbing dreams, nightmares,Improve sleep hygiene; avoid heavy meals and screens before sleep
I feel scared after nightmares, nightmares,Relaxation techniques; listen to calming music or do deep breathing
Nightmares interrupting my sleep, nightmares,Improve sleep hygiene; maintain regular bedtime and relaxing pre-sleep routine
I snore loudly at night, snoring,Sleep on your side; avoid sleeping on your back and stay relaxed
Loud snoring disturbing my sleep, snoring,Nasal decongestants; use as directed and maintain calm
Snoring every night, snoring,Sleep position adjustment; keep head slightly elevated and breathe slowly
I snore heavily when tired, snoring,Humidifier; keep room moist and relax before sleep
Snoring waking my partner, snoring,Sleep on your side; avoid alcohol before bed and stay calm
Frequent snoring at night, snoring,Nasal decongestants; use gently and breathe slowly
Snoring with mouth open, snoring,Sleep position adjustment; sleep on side and stay relaxed
I have noisy breathing during sleep, snoring,Humidifier; maintain comfortable humidity and relax
Snoring interrupts my sleep, snoring,Sleep on your side; keep pillows elevated and breathe calmly
Loud snoring after dinner, snoring,Nasal decongestants; use as needed and stay calm
Snoring causing morning headache, snoring,Sleep position adjustment; maintain side-sleeping and relax
Heavy snoring during naps, snoring,Humidifier; keep room air moist and breathe slowly
Snoring mostly at night, snoring,Sleep on your side; avoid back-sleeping and stay calm
I snore frequently, snoring,Nasal decongestants; use carefully and maintain relaxed posture
Snoring disturbing deep sleep, snoring,Sleep position adjustment; elevate head slightly and stay calm
I injured my knee and feel pain, acl,R.I.C.E method; rest, apply ice, and elevate leg. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Knee pain after sudden twist, acl,Physiotherapy; perform strengthening exercises as advised. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Pain and swelling in knee, acl,R.I.C.E method; compress knee gently and rest. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
I feel instability in knee while walking, acl,Physiotherapy; do gentle exercises and follow guidance. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Knee pain after sports injury, acl,R.I.C.E method; apply ice and elevate leg. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Difficulty bending my knee, acl,Physiotherapy; perform guided strengthening routines. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Knee swelling after sudden movement, acl,R.I.C.E method; rest and compress knee gently. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Feeling weak in knee, acl,Physiotherapy; do stretching and strengthening exercises carefully. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Pain and instability in knee joint, acl,R.I.C.E method; elevate leg and rest. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Knee giving way while walking, acl,Physiotherapy; follow exercise routine and stay calm. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Sudden knee pain with swelling, acl,R.I.C.E method; ice and compress gently. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Difficulty walking after knee injury, acl,Physiotherapy; perform strengthening and balance exercises. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Knee feels unstable after sports, acl,R.I.C.E method; rest, ice, and elevate leg. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Pain during knee movement, acl,Physiotherapy; follow guided rehab exercises carefully. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
Swelling and tenderness in knee, acl,R.I.C.E method; compress and rest leg gently. Note: Severe ACL tears may require surgical intervention; consult an orthopedic specialist.
I have cramps during my period, menstrual,Ibuprofen 400mg; take after meals and rest calmly
Lower abdominal cramps during menstruation, menstrual,Heat therapy; apply warm compress and relax
Severe cramps at night, menstrual,Ibuprofen 400mg; take as directed and stay calm
Painful period cramps, menstrual,Heat therapy; place warm compress on abdomen and breathe slowly
Abdominal pain during menstruation, menstrual,Ibuprofen 400mg; stay hydrated and rest
Menstrual cramps causing discomfort, menstrual,Heat therapy; apply warmth and relax muscles
Cramps with lower back pain, menstrual,Ibuprofen 400mg; take after meals and stay calm
Mild but persistent cramps, menstrual,Heat therapy; use warm compress and maintain calm
Severe lower abdomen cramps, menstrual,Ibuprofen 400mg; rest and sip warm fluids
Painful cramps affecting daily routine, menstrual,Heat therapy; apply heat gently and relax
Menstrual pain with bloating, menstrual,Ibuprofen 400mg; take as directed and stay hydrated
Cramps causing nausea, menstrual,Heat therapy; use warm compress and relax quietly
Sharp cramps during periods, menstrual,Ibuprofen 400mg; rest calmly and sip fluids
Continuous abdominal cramps, menstrual,Heat therapy; apply warmth and breathe slowly
Cramps interfering with sleep, menstrual,Ibuprofen 400mg; take after meals and relax
I have a small cut and it’s bleeding, bleeding,Apply pressure and clean wound; keep calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Nosebleed started suddenly, bleeding,Elevation & cold compress; hold head upright and relax. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Bleeding from a minor scratch, bleeding,Apply pressure and clean wound; stay calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Small cut on finger bleeding, bleeding,Elevation & cold compress; hold finger up and relax. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Bleeding from minor wound on arm, bleeding,Apply pressure and clean wound; keep area clean. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Nose is bleeding after injury, bleeding,Elevation & cold compress; pinch nose gently and stay calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Blood from small cut on leg, bleeding,Apply pressure and clean wound; maintain calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Minor bleeding after shaving, bleeding,Elevation & cold compress; apply gentle pressure and relax. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Bleeding from small puncture, bleeding,Apply pressure and clean wound; stay calm and hygienic. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Cuts on hand causing bleeding, bleeding,Elevation & cold compress; keep hand raised and relax. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Light bleeding after bite, bleeding,Apply pressure and clean wound; maintain calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Nosebleed during night, bleeding,Elevation & cold compress; stay calm and hold head upright. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Small scratches on skin bleeding, bleeding,Apply pressure and clean wound; keep area sterile. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Bleeding from minor injury on leg, bleeding,Elevation & cold compress; apply gentle pressure and relax. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Cuts causing light bleeding, bleeding,Apply pressure and clean wound; remain calm. Note: Severe or uncontrolled bleeding is a medical emergency; seek immediate medical attention.
Hi,hi,Hello give out your symptoms
Hello,hello,Hello give out your symptoms
